,0
0,683.75
1,4113.95
2,3535.34
3,2303.24
4,4302.63
5,2698.28
6,481.12
7,6177.3
8,2712.48
9,521.6
10,4089.85
11,5571.05
12,2982.63
13,4379.29
14,871.54
15,5242.04
16,438.0
17,2853.24
18,2892.88
19,4582.89
20,2995.74
21,5529.24
22,745.48
23,723.27
24,5619.13
25,1335.3
26,4222.88
27,450.77
28,5678.65
29,1889.4
30,3997.45
31,776.32
32,6075.31
33,2851.78
34,2168.85
35,5278.68
36,738.2
37,541.69
38,5572.04
39,379.27
40,3327.73
41,4982.28
42,3553.11
43,5262.87
44,3181.22
45,955.31
46,2122.01
47,4754.59
48,4799.41
49,5599.43
50,3224.75
51,4427.81
52,315.85
53,4884.95
54,1382.02
55,2225.92
56,804.5
57,3510.7
58,5291.62
59,2832.02
60,2520.08
61,4705.8
62,386.82
63,5822.19
64,3743.27
65,319.47
66,4489.39
67,2976.75
68,4816.4
69,390.02
70,2603.78
71,361.22
72,3770.51
73,3949.31
74,4954.52
75,2105.88
76,2797.22
77,4900.56
78,5858.99
79,883.17
80,871.53
81,5563.42
82,3703.31
83,723.77
84,798.71
85,2766.01
86,4568.99
87,2706.93
88,5015.6
89,5239.63
90,4687.05
91,2544.52
92,2799.73
93,5915.86
94,2012.27
95,3033.62
96,1787.6
97,354.18
98,4729.59
99,4615.16
100,1221.47
101,3121.2
102,1308.6
103,612.68
104,3688.55
105,4959.13
106,1128.88
107,5260.11
108,2802.87
109,1195.74
110,5636.18
111,4882.97
112,7079.34
113,4892.41
114,4379.79
115,4729.18
116,2817.2
117,5015.14
118,5991.51
119,777.18
120,246.73
121,3303.36
122,4263.66
123,4739.24
124,627.16
125,5687.1
126,4373.76
127,5366.37
128,4264.69
129,4894.42
130,2290.77
131,5763.95
132,5241.74
133,3257.99
134,3103.97
135,2712.16
136,3345.59
137,5078.3
138,4942.89
139,4889.76
140,4439.6
141,1133.36
142,1393.51
143,4586.54
144,5677.94
145,5971.12
146,3239.27
147,3895.7
148,455.21
149,2221.39
150,5142.3
151,2578.22
152,304.65
153,5171.33
154,4006.81
155,3823.99
156,295.22
157,4447.95
158,4398.78
159,4374.35
160,879.93
161,3704.7
162,4702.88
163,3904.59
164,5583.66
165,2941.61
166,4584.8
167,4484.77
168,2525.8
169,4907.34
170,5276.08
171,4361.47
172,4926.19
173,360.44
174,3228.9
175,2509.58
176,792.08
177,2788.24
178,1507.74
179,5669.92
180,2875.64
181,461.3
182,4718.35
183,495.62
184,5578.78
185,4752.93
186,358.48
187,527.21
188,5854.48
189,826.43
190,2944.98
191,303.46
192,1507.17
193,5360.29
194,4552.49
195,5492.39
196,4869.19
197,2794.0
198,386.21
199,1434.72
200,1302.18
201,4446.43
202,4636.82
203,6771.74
204,2733.02
205,364.66
206,2492.09
207,5331.18
208,2016.32
209,763.81
210,2534.79
211,4500.2
212,3929.68
213,4036.63
214,5485.07
215,3282.05
216,5015.15
217,302.56
218,2360.0
219,2329.41
220,5270.46
221,1978.69
222,449.95
223,5744.78
224,5460.78
225,282.54
226,5308.37
227,4433.66
228,758.76
229,4497.14
230,6011.54
231,2531.29
232,4305.71
233,4469.93
234,2741.41
235,924.63
236,4682.85
237,3241.8
238,2921.15
239,611.44
240,1940.64
241,349.99
242,6531.25
243,4356.46
244,5656.1
245,4893.64
246,3788.58
247,4646.1
248,247.09
249,4933.02
250,358.81
251,4697.38
252,4371.52
253,818.31
254,5868.38
255,806.66
256,853.01
257,2581.98
258,4194.67
259,455.77
260,3343.42
261,2749.07
262,1250.3
263,5542.13
264,3410.18
265,2443.67
266,4430.01
267,2244.26
268,1948.54
269,4625.79
270,5386.86
271,4542.87
272,4974.85
273,4966.78
274,4537.04
275,693.88
276,4846.4
277,3930.62
278,4617.58
279,670.65
280,2097.46
281,4212.03
282,3174.24
283,5100.12
284,5627.38
285,3316.28
286,4901.78
287,4588.27
288,5738.45
289,4874.35
290,4800.11
291,4133.37
292,5461.59
293,4487.3
294,1070.15
295,5525.91
296,4124.5
297,528.68
298,5120.99
299,325.42
300,6504.02
301,5524.09
302,3230.1
303,2748.3
304,5452.79
305,5882.87
306,5614.36
307,5532.05
308,4053.65
309,4182.48
310,4920.27
311,4507.2
312,2449.1
313,1199.26
314,461.43
315,5117.6
316,385.13
317,5102.01
318,2038.93
319,822.94
320,582.14
321,846.65
322,467.01
323,5561.43
324,4167.69
325,2617.65
326,1152.02
327,4455.84
328,6259.26
329,5118.41
330,381.56
331,1959.91
332,5001.62
333,5641.32
334,4692.58
335,3030.41
336,4536.34
337,3082.62
338,776.28
339,2522.17
340,4350.8
341,939.07
342,4355.6
343,346.7
344,2366.77
345,3637.32
346,4417.49
347,1018.26
348,2712.64
349,5363.6
350,2138.11
351,363.36
352,3333.5
353,5084.52
354,1594.8
355,5475.83
356,4639.59
357,1428.58
358,2389.4
359,2402.96
360,2151.62
361,1905.34
362,2222.03
363,3302.34
364,355.78
365,4933.39
366,347.1
367,6469.88
368,335.99
369,4722.8
370,4957.01
371,5163.8
372,427.65
373,1690.73
374,1359.96
375,4674.98
376,4745.27
377,5903.9
378,1216.13
379,436.25
380,3278.54
381,1609.16
382,372.61
383,5644.98
384,3881.37
385,4726.74
386,2180.12
387,2406.25
388,5434.67
389,355.93
390,601.75
391,437.63
392,2749.64
393,3722.88
394,273.01
395,4720.24
396,364.36
397,2253.85
398,1862.58
399,4490.36
400,686.85
401,279.83
402,5302.66
403,5957.94
404,403.08
405,1121.66
406,2847.73
407,803.98
408,6490.74
409,4425.52
410,4967.9
411,374.14
412,5104.35
413,4849.43
414,2566.54
415,284.44
416,4908.35
417,4267.55
418,6098.72
419,612.06
420,2534.32
421,3010.67
422,4777.2
423,5732.72
424,3501.75
425,1825.74
426,2082.4
427,771.0
428,1201.98
429,4987.3
430,5194.47
431,457.88
432,2162.49
433,4923.45
434,5378.87
435,417.11
436,2463.8
437,2755.93
438,4527.92
439,526.59
440,4860.36
441,2608.1
442,1348.12
443,5741.42
444,3905.96
445,1919.7
446,6214.84
447,4512.95
448,332.78
449,521.85
450,456.27
451,853.46
452,4893.55
453,3537.62
454,4164.1
455,2932.87
456,379.79
457,2379.32
458,4214.06
459,857.21
460,357.93
461,1500.4
462,4793.6
463,6144.47
464,843.64
465,5562.51
466,5890.39
467,2825.04
468,2241.73
469,5963.58
470,2373.63
471,370.93
472,5922.59
473,428.32
474,3809.6
475,4469.11
476,5020.66
477,597.03
478,2727.54
479,5327.58
480,4372.88
481,5055.67
482,783.13
483,4294.24
484,1629.71
485,1134.58
486,998.24
487,5800.42
488,3144.87
489,1296.11
490,5730.74
491,3329.4
492,5696.8
493,6099.2
494,4538.21
495,2273.31
496,3702.06
497,403.23
498,5490.96
499,2551.21
500,5607.41
501,2751.92
502,6106.02
503,365.72
504,4647.98
505,4379.05
506,4819.55
507,1250.34
508,4602.58
509,4597.78
510,6441.12
511,6000.68
512,5334.34
513,4445.98
514,4368.43
515,5439.46
516,5078.4
517,4885.15
518,1027.77
519,3437.87
520,2269.69
521,837.21
