,0
0,771.05
1,4530.11
2,3245.37
3,2758.63
4,4140.43
5,2731.47
6,400.48
7,6434.6
8,2697.71
9,406.99
10,4203.47
11,5981.46
12,2866.18
13,4295.37
14,937.1
15,5502.99
16,440.88
17,2986.16
18,3079.27
19,4975.76
20,2858.55
21,5817.9
22,1358.24
23,902.07
24,6492.01
25,1339.33
26,4468.87
27,315.57
28,6037.57
29,1716.68
30,4277.09
31,654.23
32,6389.18
33,2870.7
34,866.99
35,5865.25
36,643.25
37,528.13
38,5654.87
39,357.25
40,4764.15
41,5267.95
42,3383.34
43,5378.78
44,3189.38
45,915.48
46,2200.27
47,4400.01
48,4740.19
49,5920.04
50,3614.67
51,4380.45
52,280.87
53,4979.73
54,1245.43
55,2307.09
56,879.12
57,3636.45
58,5221.6
59,2972.88
60,2506.03
61,4487.63
62,321.69
63,6152.25
64,2904.1
65,277.76
66,4600.8
67,3107.46
68,4694.74
69,324.99
70,935.81
71,474.46
72,3708.89
73,3737.91
74,4970.41
75,998.97
76,3260.12
77,4957.37
78,6038.6
79,825.86
80,880.95
81,5511.04
82,3309.46
83,715.02
84,892.36
85,2736.8
86,4440.34
87,2674.66
88,5599.89
89,5334.56
90,4630.47
91,2121.78
92,3822.18
93,5942.97
94,1676.21
95,3072.04
96,1505.31
97,354.02
98,4928.95
99,4360.66
100,1449.87
101,3147.17
102,1184.95
103,741.6
104,3509.06
105,5133.43
106,1064.68
107,5429.08
108,3251.18
109,1043.07
110,5754.84
111,4863.08
112,6842.95
113,4890.97
114,4323.47
115,4366.5
116,3474.08
117,6109.55
118,6512.84
119,889.18
120,249.48
121,3067.21
122,4521.69
123,4673.15
124,714.55
125,5667.9
126,4593.08
127,5712.5
128,4639.1
129,5614.46
130,2514.53
131,6640.23
132,5421.05
133,3055.88
134,3295.68
135,2810.87
136,3067.86
137,4988.89
138,4817.67
139,5181.09
140,4645.88
141,1403.38
142,1426.54
143,4332.05
144,5783.38
145,6049.58
146,3077.4
147,3149.47
148,476.27
149,2250.55
150,4865.97
151,3110.42
152,316.35
153,5183.7
154,4406.18
155,3103.43
156,281.4
157,4952.46
158,4532.32
159,4461.0
160,1274.93
161,3581.43
162,4714.0
163,3963.99
164,5586.34
165,2547.86
166,5909.42
167,4483.25
168,2559.57
169,4702.87
170,5437.42
171,4212.82
172,5022.98
173,436.27
174,3166.26
175,2854.53
176,830.25
177,2933.24
178,1512.18
179,5669.55
180,2611.54
181,414.78
182,4724.41
183,553.68
184,6065.09
185,4317.47
186,357.56
187,592.16
188,6093.59
