,0
0,3440.0396523407694
1,3253.9640672007654
2,3680.4756429658614
3,3667.2363178565665
4,3552.134800905861
5,3565.0241038734034
6,3127.6645192070896
7,3528.4973274854483
8,2566.7186378709
9,2583.459459416483
10,3054.7102158478397
11,3351.3529580190507
12,3440.0396523407694
13,3252.8308370906557
14,2990.0915178893265
15,3680.4756429658614
16,2406.184585119745
17,3193.997732096083
18,3191.9594107457356
19,3054.7102158478397
20,3139.3576803730484
21,3544.417223195854
22,3127.6645192070896
23,3550.94318935903
24,4689.063803163531
25,2877.2325200014952
26,3202.0756406338683
27,2583.459459416483
28,3022.6603677482285
29,3366.2307183601374
30,3150.48474385884
31,3056.1970591496274
32,2719.055246984091
33,3351.3529580190507
34,2583.459459416483
35,3097.665078243625
36,3193.0061658554896
37,3202.0756406338683
38,2990.0915178893265
39,3097.665078243625
40,3252.8308370906557
41,3834.650100054229
42,2848.5896650909826
43,3351.3529580190507
44,3680.4756429658614
45,2234.9572124467127
46,3097.665078243625
47,2942.288840807874
48,3141.5311192475533
49,2990.0915178893265
50,3173.757234569926
51,3363.1425432521455
52,2990.0915178893265
53,3920.453762663519
54,4037.9896235682554
55,3368.7378582030965
56,3035.3662271060007
57,3139.3576803730484
58,3202.0756406338683
59,3035.3662271060007
60,2719.055246984091
61,3253.9640672007654
62,3096.6553449562325
63,3440.0396523407694
64,2509.2374678686742
65,3097.665078243625
66,3096.6553449562325
67,2583.459459416483
68,3539.941533178119
69,3202.0756406338683
70,2263.2820341221973
71,2990.0915178893265
72,3586.566886015582
73,3163.845264123591
74,3945.8447034762835
75,3202.6524549605538
76,3150.48474385884
77,3150.48474385884
78,2990.0915178893265
79,2990.0915178893265
80,2990.0915178893265
81,3097.665078243625
82,3163.845264123591
83,3191.9594107457356
84,3202.0756406338683
85,3544.417223195854
86,3544.417223195854
87,3528.4973274854483
88,3156.600275646947
89,3719.3831155622465
90,3141.494897226324
91,3281.668271804617
92,3204.230686801391
93,3941.5409115728553
94,3202.0756406338683
95,2754.2681734420134
96,3166.584717676012
97,3026.0676555906707
98,3680.4756429658614
99,3391.7579261627297
100,3054.7102158478397
101,3443.135660424916
102,3846.9888118610115
103,3150.48474385884
104,2990.0915178893265
105,3193.997732096083
106,2990.0915178893265
107,3680.4756429658614
108,2913.281097090751
109,3565.0241038734034
110,3351.3529580190507
111,2942.288840807874
112,3163.845264123591
113,3920.453762663519
114,3253.9640672007654
115,3528.4973274854483
116,3857.292336357923
117,2961.5951858345934
118,3351.3529580190507
119,2833.287943198258
120,3070.2333884797877
121,4023.274163648518
122,3097.665078243625
123,3443.135660424916
124,3253.9640672007654
125,3202.6524549605538
126,3796.15364258226
127,2990.0915178893265
128,3440.0396523407694
129,3120.680980898167
130,3580.918708438826
131,3389.769803586424
132,3528.4973274854483
133,3351.3529580190507
134,3163.845264123591
135,3054.7102158478397
136,3070.2333884797877
137,3056.1970591496274
138,3351.3529580190507
139,3053.611580152943
140,2990.0915178893265
141,3054.7102158478397
142,2583.459459416483
143,2747.7534770783827
144,3528.4973274854483
145,3193.997732096083
146,3940.903938996405
147,2990.0915178893265
148,3160.4038761859742
149,3054.7102158478397
150,3253.9640672007654
151,3528.4973274854483
152,3070.2333884797877
153,3097.665078243625
154,3945.8447034762835
155,3097.665078243625
156,2747.7534770783827
157,3202.7329050181665
158,4023.274163648518
159,3347.668006304123
160,2913.281097090751
161,3035.3662271060007
162,3912.183023475578
163,3351.3529580190507
164,3154.363052799249
165,3770.054831159867
166,3821.0378335244345
167,3920.453762663519
168,3372.3576812998813
169,2990.0915178893265
170,3230.034479608803
171,4023.274163648518
172,3528.4973274854483
173,2606.1008575436513
174,3375.0351543514003
175,3565.8039645114095
176,2990.0915178893265
177,3222.4937064777114
178,3163.845264123591
179,3351.3529580190507
180,3906.8939990709923
181,3680.4756429658614
182,3920.453762663519
183,2913.281097090751
184,3351.3529580190507
185,3351.3529580190507
186,3173.757234569926
187,3360.046535167999
188,3163.845264123591
189,3351.3529580190507
190,3035.3662271060007
191,3271.4860376802835
192,3080.8374142854213
193,2990.0915178893265
194,3253.9640672007654
195,3528.4973274854483
196,3621.5401075494456
197,2990.0915178893265
198,3166.584717676012
199,2509.2374678686742
200,3202.0756406338683
201,3565.0241038734034
202,3372.3576812998813
203,2990.0915178893265
204,2583.459459416483
205,3528.4973274854483
206,3156.600275646947
207,3351.3529580190507
208,3263.873463238538
209,3253.9640672007654
210,3097.665078243625
211,3667.2363178565665
212,3351.3529580190507
213,3163.845264123591
214,2990.0915178893265
215,3127.6645192070896
216,3941.5409115728553
217,2560.591347375728
218,3648.508098973943
219,2990.0915178893265
220,3122.305433379419
221,2790.3224606463186
222,1921.0141600942488
223,3351.3529580190507
224,3366.2307183601374
225,3557.7981690633433
226,3920.453762663519
227,2988.864495756841
228,3150.48474385884
229,3565.0241038734034
230,3054.7102158478397
231,2990.0915178893265
232,3351.3529580190507
233,3035.3662271060007
234,3166.584717676012
235,2258.543996166739
236,3565.0241038734034
237,3193.997732096083
238,3096.6553449562325
239,3351.3529580190507
240,3351.3529580190507
241,2990.0915178893265
242,3351.3529580190507
243,3166.584717676012
244,3096.6553449562325
245,4037.9896235682554
246,2970.6136624833584
247,3156.600275646947
248,3351.3529580190507
249,3329.811543649381
250,2782.9029693140965
251,2990.0915178893265
252,3351.3529580190507
253,2990.0915178893265
254,3080.8374142854213
255,3163.845264123591
256,2990.0915178893265
257,3565.0241038734034
258,3007.6634648088548
259,3351.3529580190507
260,4037.9896235682554
261,2479.281811724367
262,3054.7102158478397
263,3421.768874862743
264,3166.584717676012
265,3127.6645192070896
266,3173.757234569926
267,3139.3576803730484
268,2990.0915178893265
269,3539.941533178119
270,2990.0915178893265
271,3253.9640672007654
272,3223.486461492614
273,3193.997732096083
274,3079.0481295711106
275,3399.5751534853816
276,3351.3529580190507
277,3565.0241038734034
278,3351.3529580190507
279,3162.807665119663
280,3402.2545900305904
281,3923.1069150641924
282,3170.941063965823
283,3528.4973274854483
