,0
0,802.37
1,4112.71
2,3433.94
3,2588.62
4,4302.29
5,2825.05
6,405.14
7,6228.24
8,2990.65
9,427.19
10,4203.29
11,5876.27
12,2941.61
13,4216.99
14,935.09
15,5592.04
16,457.9
17,2843.72
18,2906.15
19,4957.43
20,2782.96
21,6091.85
22,1043.35
23,953.03
24,6399.28
25,1384.68
26,4344.96
27,307.87
28,5919.63
29,1829.41
30,4023.61
31,657.32
32,6342.69
33,2985.55
34,872.67
35,5757.92
36,679.87
37,627.07
38,5531.06
39,347.94
40,4700.92
41,5018.59
42,3395.84
43,5682.49
44,3166.31
45,827.66
46,2094.13
47,4429.02
48,4774.84
49,5724.76
50,3411.96
51,4330.41
52,281.93
53,5037.24
54,1486.79
55,2392.95
56,862.38
57,3603.95
58,5397.17
59,2957.11
60,2605.16
61,4620.33
62,320.18
63,6231.56
64,3039.43
65,278.14
66,4394.73
67,3120.87
68,4540.51
69,292.56
70,947.59
71,303.1
72,3814.2
73,3874.31
74,4944.04
75,1002.76
76,3218.21
77,4953.39
78,6050.69
79,841.38
80,888.31
81,5847.94
82,3446.13
83,804.38
84,860.76
85,2771.69
86,4569.46
87,2573.05
88,5433.19
89,5229.98
90,4763.19
91,2478.85
92,2808.31
93,6079.11
94,1834.94
95,3082.45
96,1388.76
97,359.06
98,4989.42
99,4613.0
100,1411.55
101,3195.69
102,1261.85
103,714.06
104,3362.33
105,5106.65
106,1098.04
107,5414.82
108,3032.89
109,959.47
110,5884.59
111,4947.81
112,7149.46
113,4949.43
114,4323.91
115,4312.75
116,2977.2
117,6121.39
118,6550.09
119,939.36
120,243.48
121,3331.24
122,4340.59
123,4695.49
124,728.74
125,5822.81
126,4598.2
127,5573.35
128,4663.22
129,5795.43
130,2584.96
131,6494.31
132,5510.5
133,3211.02
134,3148.82
135,2642.36
136,3132.43
137,4892.65
138,4918.2
139,4944.66
140,4459.55
141,1405.64
142,1449.76
143,4333.09
144,5761.9
145,6120.36
146,3078.03
147,3058.61
148,465.61
149,2266.37
150,5132.89
151,3145.99
152,306.65
153,5275.98
154,4402.44
155,3341.05
156,303.77
157,4997.64
158,4520.42
159,4643.22
160,920.98
161,3454.34
162,4704.42
163,3944.02
164,5758.44
165,2529.47
166,5952.11
167,4327.66
168,2668.45
169,4748.59
170,5418.17
171,4222.48
172,5168.42
173,398.86
174,3203.27
175,2651.51
176,801.99
177,2956.35
178,1406.15
179,5704.03
180,2784.98
181,446.1
182,4758.92
183,489.71
184,6055.56
185,4348.17
186,341.72
187,592.92
188,6044.56
189,554.33
190,2916.64
191,290.81
192,934.24
193,5742.63
194,4520.48
195,5343.84
196,4719.82
197,1556.31
198,357.54
199,1663.36
200,1368.14
201,4232.63
202,4703.91
203,6707.16
204,967.32
205,371.89
206,2478.01
207,5762.81
208,2180.45
209,709.92
210,2416.49
211,4083.94
212,3700.37
213,3650.52
214,5921.13
215,3115.33
216,5880.75
217,259.38
218,2730.12
219,2628.0
220,5374.96
221,1824.34
222,449.1
223,5898.8
224,5665.1
225,265.29
226,5174.39
227,4402.49
228,822.2
229,4710.41
230,6373.21
231,2874.62
232,4372.91
233,4368.7
234,2834.3
235,987.19
236,4752.66
237,3341.94
238,2908.64
239,492.36
240,1782.4
241,337.39
242,6543.54
243,4258.79
244,5842.78
245,5116.86
246,2988.34
247,4676.77
248,157.61
249,4924.89
250,299.96
251,4814.87
252,6044.36
253,851.62
254,6102.59
255,862.29
256,733.14
257,2657.95
258,3880.48
259,443.94
260,3347.59
261,2597.29
262,886.07
263,5713.13
264,3346.05
265,2528.11
266,4349.99
267,2202.09
268,2068.62
269,4694.78
270,5467.4
271,4503.47
272,4906.54
273,4960.86
274,4718.45
275,597.13
276,4804.7
277,3728.39
278,4657.73
279,586.94
280,2131.57
281,4270.63
282,3281.88
283,4953.92
284,5864.85
285,2716.45
286,4803.46
287,4667.0
288,5838.13
289,5395.72
290,5270.11
291,3967.3
292,5813.75
293,4500.51
294,1059.27
295,5555.14
296,4150.43
297,673.48
298,5183.57
299,308.09
300,6560.87
301,5946.25
302,3297.69
303,2713.99
304,6311.21
305,6126.94
306,5720.91
307,5692.81
308,4319.49
309,4089.74
310,4950.07
311,4793.17
312,2870.38
313,1096.99
314,298.18
315,5185.01
316,394.26
317,5187.39
318,1930.2
319,899.01
320,420.01
321,831.58
322,536.86
323,6011.64
324,4052.83
325,926.33
326,1325.39
327,4594.17
328,6247.76
329,5290.23
330,371.14
331,2280.41
332,4318.64
333,5874.36
334,4726.04
335,3074.17
336,4765.68
337,3077.45
338,607.05
339,2635.01
340,4351.91
341,1127.25
342,4317.53
343,339.36
344,2634.41
345,3453.9
346,4349.14
347,1204.21
348,2777.22
349,5640.19
350,2020.3
351,368.77
352,3567.09
353,4464.5
354,1406.78
355,5658.34
356,4311.74
357,1468.4
358,2384.69
359,2102.77
360,2445.04
361,1844.29
