,0
0,733.65
1,4230.97
2,3546.69
3,2657.88
4,4196.38
5,2378.67
6,417.16
7,6367.36
8,3167.79
9,476.52
10,4123.94
11,5791.28
12,2968.39
13,4057.11
14,1019.32
15,5509.89
16,473.93
17,2943.85
18,2942.74
19,4987.33
20,2885.6
21,5778.96
22,1654.49
23,845.57
24,6296.0
25,1315.59
26,4432.48
27,346.92
28,6032.83
29,1943.52
30,3830.4
31,642.01
32,6068.51
33,3079.5
34,900.12
35,5751.24
36,665.21
37,588.74
38,5487.48
39,356.04
40,4239.83
41,5134.74
42,3509.03
43,5578.16
44,3168.12
45,813.03
46,2223.93
47,4387.16
48,4768.04
49,5917.98
50,3307.46
51,4393.37
52,288.78
53,5061.87
54,1404.05
55,2108.33
56,830.52
57,3667.84
58,5337.62
59,2821.35
60,2706.33
61,4581.43
62,654.73
63,6063.77
64,3072.96
65,282.81
66,4407.72
67,2910.81
68,4621.87
69,311.35
70,1057.45
71,415.17
72,3833.63
73,3666.09
74,5029.32
75,1133.33
76,3106.35
77,4968.89
78,5938.35
79,1147.21
80,1020.25
81,4931.21
82,3321.1
83,1157.25
84,889.4
85,2788.35
86,4536.26
87,2651.78
88,4880.96
89,5275.67
90,4803.84
91,2207.51
92,2606.77
93,6075.57
94,1942.84
95,3098.46
96,1642.26
97,375.23
98,5164.17
99,4905.57
100,1449.86
101,3220.03
102,1416.68
103,614.05
104,3502.04
105,5125.9
106,1449.74
107,5468.37
108,2331.57
109,1234.12
110,5241.01
111,4907.38
112,6743.55
113,5023.01
114,4269.5
115,4377.57
116,2613.91
117,6175.66
118,6378.73
119,929.48
120,322.15
121,3481.85
122,4329.17
123,4669.77
124,713.71
125,5021.43
126,4669.35
127,5357.62
128,4720.17
129,5673.92
130,2271.63
131,6480.44
132,5535.86
133,3138.27
134,3113.39
135,2656.81
136,3204.92
137,5053.52
138,4923.85
139,5045.68
140,4439.33
141,1385.15
142,1451.73
143,4379.84
144,5893.87
145,6096.89
146,3385.47
147,3415.51
148,516.24
149,2109.85
150,5012.16
151,3202.37
152,431.74
153,5258.15
154,4135.16
155,3545.21
156,316.16
157,5019.79
158,4574.2
159,4663.84
160,829.81
161,3623.99
162,4646.8
163,4000.9
164,5509.7
165,2269.72
166,5928.86
167,4441.76
168,2644.93
169,4707.9
170,5488.61
171,4276.17
172,5166.61
173,437.94
174,3754.85
175,3007.72
176,812.71
