,0
0,837.71
1,3928.36
2,3594.74
3,1785.06
4,3801.77
5,2961.05
6,430.52
7,6207.86
8,3045.67
9,530.38
10,4132.65
11,5680.51
12,2802.18
13,4339.59
14,1570.51
15,5719.67
16,527.99
17,2761.14
18,3007.79
19,4906.85
20,3190.74
21,5027.34
22,1296.53
23,1486.25
24,6115.61
25,1325.08
26,4493.43
27,387.63
28,5611.79
29,1557.12
30,4191.25
31,625.39
32,6158.46
33,3216.35
34,960.39
35,5514.52
36,635.6
37,804.14
38,4925.74
39,493.96
40,3824.4
41,5106.3
42,3478.7
43,4068.39
44,3171.49
45,727.69
46,2312.97
47,4319.35
48,4805.4
49,5780.11
50,3319.91
51,4189.02
52,730.89
53,5160.49
54,1080.23
55,2363.19
56,739.22
57,4160.07
58,5191.29
59,2949.23
60,2652.88
61,4431.06
62,917.51
63,6209.35
64,3454.61
65,354.16
66,3939.49
67,3039.65
68,4350.52
69,469.06
70,1008.48
71,355.18
72,3644.65
73,3653.34
74,5207.59
75,1032.52
76,3225.78
77,4991.79
78,5774.86
79,1328.21
80,1441.67
81,5687.74
82,3134.5
83,2003.31
84,663.18
85,2925.76
86,4552.93
87,2410.8
88,4228.73
89,5238.61
90,4766.77
91,2979.79
92,3532.9
93,6044.99
94,2095.74
95,3017.94
96,1650.91
97,440.13
98,5151.27
99,4101.91
100,1303.07
101,3336.51
102,1373.1
103,647.76
104,3308.06
105,5145.36
106,1888.02
107,5464.39
108,3029.47
109,1368.51
110,5075.0
111,4948.29
112,6567.65
113,4876.0
114,4040.61
115,4369.33
116,2653.96
117,6142.29
118,6470.11
119,963.29
120,364.86
121,3710.85
122,4626.35
123,4961.42
124,822.25
125,5609.01
126,4672.17
127,4845.38
128,4545.83
129,5786.26
130,3010.91
131,6555.12
132,5305.11
133,3149.95
134,3332.81
135,2677.52
136,3281.1
137,4719.94
138,5048.31
139,5168.01
140,4489.85
141,1199.99
142,1225.76
143,4160.26
144,5824.56
145,6422.88
146,2576.61
147,2742.94
148,544.93
149,2578.58
150,4906.21
151,3372.49
152,331.44
153,5222.07
154,3190.42
155,2979.4
156,402.16
157,4813.89
158,4659.97
159,4395.69
160,2248.72
161,3622.12
162,4981.87
163,4133.22
164,5438.97
165,2091.43
166,5601.09
167,4577.13
168,3569.33
